Pool,Title,Author,Publication Title,Vote_Reviewer_1,Vote_Reviewer_2,Agreement,Final_Decision,Rationale,Status
Pool 1 (Aravind & Joel),Alignment without understanding: A message- and conversation-centered approach to understanding AI sycophancy,"Du, Lihua; Lyu, Xing; Xie, Lezi; Feng, Bo",,Include,For Consideration,No,Include,Rich on Sycophancy theoretical information,Resolved
Pool 1 (Aravind & Joel),All Too Human? Mapping and Mitigating the Risks from Anthropomorphic AI,"Akbulut, Canfer; Weidinger, Laura; Manzini, Arianna; Gabriel, Iason; Rieser, Verena","Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society",Include,Exclude,No,Include,Good info on anthropomorphic behaviours and their impacts on privacy and autonomy,Resolved
Pool 1 (Aravind & Joel),"An Agile New Research Framework for Hybrid Human-AI Teaming: Trust, Transparency, and Transferability","Caldwell, Sabrina; Sweetser, Penny; O’Donnell, Nicholas; Knight, Matthew J.; Aitchison, Matthew; Gedeon, Tom; Johnson, Daniel; Brereton, Margot; Gallagher, Marcus; Conroy, David",ACM Trans. Interact. Intell. Syst.,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),An Overview of User Psychological Manipulation Techniques in UI/UX Web Design,"Riaz, Rimsha; Vasconcelos, Aurora; Pinto, Pedro",2024 Cyber Awareness and Research Symposium (CARS),Exclude,For Consideration,No,Include,Valuable UI Dark Patterns background information for RQ1,Resolved
Pool 1 (Aravind & Joel),Anthropomorphism in Chatbot Systems Between Gender and Individual Differences,"Sun, Zhida; Reani, Manuele; Luo, Yunzhong; Bao, Zhuolan",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Include,For Consideration,No,Include,Application of chatbot gender on perceieved anthropomorphism,Resolved
Pool 1 (Aravind & Joel),Are UFOs driving innovation? The illusion of causality in large language models,"Carro, María Victoria; Selasco, Francisca Gauna; Mester, Denise Alejandra; Leiva, Mario Alejandro",,Include,For Consideration,No,Include,"Yes - sycophancy manopulation within GPT, Gemini",Resolved
Pool 1 (Aravind & Joel),Are We Getting Well-informed? An In-depth Study of Runtime Privacy Notice Practice in Mobile Apps,"Li, Shuai; Yang, Zhemin; Nan, Yuhong; Yu, Shutian; Zhu, Qirui; Yang, Min",Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Are iOS Apps Immune to Abusive Advertising Practices?,"Liu, Tianming; Deng, Jiapeng; Zhao, Yanjie; Chen, Xiao; Du, Xiaoning; Li, Li; Wang, Haoyu",Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Ask don't tell: Reducing sycophancy in large language models,"Dubois, Magda; Ududec, Cozmin; Summerfield, Christopher; Luettgau, Lennart",,Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),Assertion-Conditioned Compliance: A provenance-aware vulnerability in multi-turn tool-calling agents,"Waqas, Daud; Golthi, Aaryamaan; Hayashida, Erika; Mao, Huanzhi",,Exclude,For Consideration,No,Include,Good info on mechanisms and detectability approaches,Resolved
Pool 1 (Aravind & Joel),Athena: A Conversational Book Discovery Interface Combining LLM-Powered Retrieval-Augmented Generation and Interactive Graph Visualization,"Murtagh White, Matt; Xu, Yunkai; León, Nicole; E. Ritter, Frank",Adjunct Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),AttentionAR: AR Adaptation and Warning for Real-World Safety via Attention Modeling and MLLM Reasoning,"Pei, Yunqiang; Huang, Renming; Zha, Mingfeng; Wang, Guoqing; Wang, Peng; Kang, Qiao; Yang, Yang; Shen, Heng Tao",Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),Automated Detection of Dark Patterns Using In-Context Learning Capabilities of GPT-3,"Sazid, Yasin; Nafis Fuad, Mridha Md.; Sakib, Kazi",2023 30th Asia-Pacific Software Engineering Conference (APSEC),Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),Automatically Detecting Online Deceptive Patterns,"Nayak, Asmit; Wani, Yash; Zhang, Shirley; Khandelwal, Rishabh; Fawaz, Kassem",Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,Exclude,Include,No,Include,Minor background context (focus on web GUI dark patterns) but has info on detection frameworks,Resolved
Pool 1 (Aravind & Joel),Automatically finding reward model biases,"Wang, Atticus; Arcuschin, Iván; Conmy, Arthur",,Exclude,For Consideration,No,Exclude,too broad,Resolved
Pool 1 (Aravind & Joel),Autonomous AI-Driven FMEA Optimization For Safety And Reliability In Healthcare,"Bernardi, Mario; Okaro, Ikenna; Van Der Burgt, Olaf; Hicks, Michael",2026 Annual Reliability and Maintainability Symposium (RAMS),Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),BASIL: Bayesian assessment of sycophancy in LLMs,"Atwell, Katherine; Heydari, Pedram; Sicilia, Anthony; Alikhani, Malihe",,Include,For Consideration,No,Include,Bayesian influence may provide good info on why?,Resolved
Pool 1 (Aravind & Joel),Balancing Minds and Data: The Privacy Dilemma of LLMs and Anthropomorphism in LLMs,"Meier, R.",Journal of Social Computing,Include,Exclude,No,Include,Linked to our domain + good background info on Anthropomorphism,Resolved
